MolName,SCH-5,SCH-7,VCH-5,ECCEN,nRotB,TopoPSA,SaaCH,SaasC,SaaaC,SssssC,SaaN,SsssN,SaasN,SdO,SssO,SdsssP,SdS,hmax,hmin,gmin,MAXDN,MAXDP2,DELS2
CC1=CC(N2C3=C(C4=C2C=CC([H])=C4)C=C([H])C=C3)=CC(C)=C1B5C6=C(B(C7=C5C=CC=C7)C8=C(C=C(N9C(C=CC([H])=C%10)=C%10C%11=C9C=CC([H])=C%11)C=C8C)C)C=CC=C6,0.1283000598199168,2.031165777641126,0.0559016994374947,2112,4,9.86,0.0,0.0,0.0,0.0,0.0,4.892455291070078,0.0,0.0,0.0,0.0,0.0,0.6023198633642879,-0.1108132334304031,0.1280918685850551,1.205241464748278,0.4462276455350394,19.018722646190675
CC1=CC(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)=CC(C)=C1B5C6=C(C=CC=C6)B(C7=C(C)C=C(C=C7C)N8C(C=C9)=C(C%10=C8C=CC(C(C)(C)C)=C%10)C=C9C(C)(C)C)C%11=C5C=CC=C%11,0.1283000598199168,2.0730745425525527,0.0559016994374947,3152,8,9.86,0.0,0.0,0.0,-10.569580170769898,0.0,2.822900842664777,0.0,0.0,0.0,0.0,0.0,0.9908012749919488,0.1275997642182834,-2.6423950426924754,3.8923950426924754,4.460105682476601,123.14693635055488
CC(C)(C)c6ccc5OC7=CC(N3c1ccccc1C(C)(C)c2ccccc23)=CC8Oc4ccc(C(C)(C)C)cc4B(c5c6)C78,0.0,1.0357067156402615,0.0,1142,3,21.700000000000003,0.0,0.0,0.0,-7.163090255909883,0.0,1.552181289896838,0.0,0.0,12.37554154069035,0.0,0.0,1.010187947098797,-0.2656214569160997,-2.556757623246013,3.806757623246013,3.790195220731629,70.42592434379085
CC(C)(C)c6ccc5OC7=CC(N3c1ccccc1C(C)(C)c2ccccc23)=CC8Oc4ccc(C(C)(C)C)cc4B(c5c6)C78,0.0,1.0357067156402615,0.0,1142,3,21.700000000000003,0.0,0.0,0.0,-7.163090255909883,0.0,1.552181289896838,0.0,0.0,12.37554154069035,0.0,0.0,1.010187947098797,-0.2656214569160997,-2.556757623246013,3.806757623246013,3.790195220731629,70.42592434379085
